Unnamed: 0	snps_counts	position	types	type
[3000000, 3100000)	76	3050000	synonymous_variant	Style1
[2900000, 3000000)	60	2950000	synonymous_variant	Style1
[200000, 300000)	1	250000	synonymous_variant	Style1
[1800000, 1900000)	1	1850000	synonymous_variant	Style1
[700000, 800000)	1	750000	synonymous_variant	Style1
[3500000, 3600000)	1	3550000	synonymous_variant	Style1
[1700000, 1800000)	1	1750000	synonymous_variant	Style1
[1600000, 1700000)	1	1650000	synonymous_variant	Style1
[0, 100000)	0	50000	synonymous_variant	Style1
[2500000, 2600000)	0	2550000	synonymous_variant	Style1
[2600000, 2700000)	0	2650000	synonymous_variant	Style1
[2700000, 2800000)	0	2750000	synonymous_variant	Style1
[2800000, 2900000)	0	2850000	synonymous_variant	Style1
[3200000, 3300000)	0	3250000	synonymous_variant	Style1
[3100000, 3200000)	0	3150000	synonymous_variant	Style1
[2300000, 2400000)	0	2350000	synonymous_variant	Style1
[3300000, 3400000)	0	3350000	synonymous_variant	Style1
[3400000, 3500000)	0	3450000	synonymous_variant	Style1
[3600000, 3700000)	0	3650000	synonymous_variant	Style1
[3700000, 3800000)	0	3750000	synonymous_variant	Style1
[3800000, 3900000)	0	3850000	synonymous_variant	Style1
[3900000, 4000000)	0	3950000	synonymous_variant	Style1
[2400000, 2500000)	0	2450000	synonymous_variant	Style1
[2000000, 2100000)	0	2050000	synonymous_variant	Style1
[2200000, 2300000)	0	2250000	synonymous_variant	Style1
[1000000, 1100000)	0	1050000	synonymous_variant	Style1
[300000, 400000)	0	350000	synonymous_variant	Style1
[400000, 500000)	0	450000	synonymous_variant	Style1
[500000, 600000)	0	550000	synonymous_variant	Style1
[600000, 700000)	0	650000	synonymous_variant	Style1
[800000, 900000)	0	850000	synonymous_variant	Style1
[900000, 1000000)	0	950000	synonymous_variant	Style1
[1100000, 1200000)	0	1150000	synonymous_variant	Style1
[2100000, 2200000)	0	2150000	synonymous_variant	Style1
[1200000, 1300000)	0	1250000	synonymous_variant	Style1
[1300000, 1400000)	0	1350000	synonymous_variant	Style1
[1400000, 1500000)	0	1450000	synonymous_variant	Style1
[1500000, 1600000)	0	1550000	synonymous_variant	Style1
[1900000, 2000000)	0	1950000	synonymous_variant	Style1
[100000, 200000)	0	150000	synonymous_variant	Style1
[4000000, 4100000)	0	4050000	synonymous_variant	Style1
[2900000, 3000000)	34	2937000	nonsynonymous_variant	Style1
[3000000, 3100000)	22	3037000	nonsynonymous_variant	Style1
[2000000, 2100000)	3	2037000	nonsynonymous_variant	Style1
[1800000, 1900000)	3	1837000	nonsynonymous_variant	Style1
[1300000, 1400000)	3	1337000	nonsynonymous_variant	Style1
[500000, 600000)	2	537000	nonsynonymous_variant	Style1
[300000, 400000)	2	337000	nonsynonymous_variant	Style1
[600000, 700000)	2	637000	nonsynonymous_variant	Style1
[3200000, 3300000)	2	3237000	nonsynonymous_variant	Style1
[1400000, 1500000)	1	1437000	nonsynonymous_variant	Style1
[2400000, 2500000)	1	2437000	nonsynonymous_variant	Style1
[2200000, 2300000)	1	2237000	nonsynonymous_variant	Style1
[2100000, 2200000)	1	2137000	nonsynonymous_variant	Style1
[1900000, 2000000)	1	1937000	nonsynonymous_variant	Style1
[1600000, 1700000)	1	1637000	nonsynonymous_variant	Style1
[1200000, 1300000)	1	1237000	nonsynonymous_variant	Style1
[2600000, 2700000)	1	2637000	nonsynonymous_variant	Style1
[2700000, 2800000)	0	2737000	nonsynonymous_variant	Style1
[3100000, 3200000)	0	3137000	nonsynonymous_variant	Style1
[3800000, 3900000)	0	3837000	nonsynonymous_variant	Style1
[3300000, 3400000)	0	3337000	nonsynonymous_variant	Style1
[3400000, 3500000)	0	3437000	nonsynonymous_variant	Style1
[3500000, 3600000)	0	3537000	nonsynonymous_variant	Style1
[3600000, 3700000)	0	3637000	nonsynonymous_variant	Style1
[3900000, 4000000)	0	3937000	nonsynonymous_variant	Style1
[3700000, 3800000)	0	3737000	nonsynonymous_variant	Style1
[2800000, 2900000)	0	2837000	nonsynonymous_variant	Style1
[0, 100000)	0	37000	nonsynonymous_variant	Style1
[2500000, 2600000)	0	2537000	nonsynonymous_variant	Style1
[2300000, 2400000)	0	2337000	nonsynonymous_variant	Style1
[100000, 200000)	0	137000	nonsynonymous_variant	Style1
[1700000, 1800000)	0	1737000	nonsynonymous_variant	Style1
[1500000, 1600000)	0	1537000	nonsynonymous_variant	Style1
[1100000, 1200000)	0	1137000	nonsynonymous_variant	Style1
[1000000, 1100000)	0	1037000	nonsynonymous_variant	Style1
[900000, 1000000)	0	937000	nonsynonymous_variant	Style1
[800000, 900000)	0	837000	nonsynonymous_variant	Style1
[700000, 800000)	0	737000	nonsynonymous_variant	Style1
[400000, 500000)	0	437000	nonsynonymous_variant	Style1
[200000, 300000)	0	237000	nonsynonymous_variant	Style1
[4000000, 4100000)	0	4037000	nonsynonymous_variant	Style1
[3900000, 4000000)	432	3950000	synonymous_variant	Style3
[3000000, 3100000)	304	3050000	synonymous_variant	Style3
[2900000, 3000000)	190	2950000	synonymous_variant	Style3
[1200000, 1300000)	16	1250000	synonymous_variant	Style3
[3700000, 3800000)	11	3750000	synonymous_variant	Style3
[1300000, 1400000)	10	1350000	synonymous_variant	Style3
[2600000, 2700000)	10	2650000	synonymous_variant	Style3
[2000000, 2100000)	2	2050000	synonymous_variant	Style3
[300000, 400000)	2	350000	synonymous_variant	Style3
[400000, 500000)	2	450000	synonymous_variant	Style3
[3800000, 3900000)	2	3850000	synonymous_variant	Style3
[3300000, 3400000)	2	3350000	synonymous_variant	Style3
[1700000, 1800000)	1	1750000	synonymous_variant	Style3
