species	mge_num	group
acinetobacter	4	prevalent
acinetobacter	1	prevalent
acinetobacter	1	prevalent
acinetobacter	9	prevalent
acinetobacter	7	prevalent
acinetobacter	6	prevalent
acinetobacter	5	prevalent
acinetobacter	9	prevalent
acinetobacter	2	prevalent
acinetobacter	3	prevalent
acinetobacter	2	prevalent
acinetobacter	3	prevalent
acinetobacter	7	prevalent
acinetobacter	6	prevalent
acinetobacter	5	prevalent
acinetobacter	4	prevalent
acinetobacter	8	prevalent
acinetobacter	8	prevalent
acinetobacter	6	prevalent
acinetobacter	5	prevalent
acinetobacter	5	prevalent
acinetobacter	3	prevalent
acinetobacter	2	prevalent
acinetobacter	7	prevalent
acinetobacter	6	prevalent
acinetobacter	7	prevalent
acinetobacter	5	prevalent
klebsiella	9	prevalent
klebsiella	2	prevalent
klebsiella	6	prevalent
klebsiella	4	prevalent
klebsiella	6	prevalent
klebsiella	5	prevalent
klebsiella	13	prevalent
klebsiella	5	prevalent
klebsiella	8	prevalent
klebsiella	16	prevalent
klebsiella	6	prevalent
klebsiella	10	prevalent
klebsiella	14	prevalent
corynebacterium	2	prevalent
corynebacterium	3	prevalent
corynebacterium	0	prevalent
corynebacterium	1	prevalent
corynebacterium	3	prevalent
corynebacterium	2	prevalent
corynebacterium	2	prevalent
corynebacterium	1	prevalent
corynebacterium	2	prevalent
corynebacterium	2	prevalent
corynebacterium	2	prevalent
corynebacterium	3	prevalent
corynebacterium	2	prevalent
corynebacterium	2	prevalent
corynebacterium	2	prevalent
corynebacterium	3	prevalent
corynebacterium	0	prevalent
corynebacterium	1	prevalent
corynebacterium	2	prevalent
corynebacterium	3	prevalent
corynebacterium	1	prevalent
corynebacterium	3	prevalent
corynebacterium	2	prevalent
corynebacterium	1	prevalent
corynebacterium	5	prevalent
corynebacterium	1	prevalent
corynebacterium	1	prevalent
corynebacterium	1	prevalent
corynebacterium	2	prevalent
corynebacterium	3	prevalent
pseudomonas	7	prevalent
pseudomonas	2	prevalent
pseudomonas	2	prevalent
pseudomonas	3	prevalent
pseudomonas	2	prevalent
pseudomonas	6	prevalent
pseudomonas	7	prevalent
pseudomonas	2	prevalent
pseudomonas	3	prevalent
pseudomonas	4	prevalent
pseudomonas	3	prevalent
pseudomonas	0	prevalent
stenotrophomonas	2	prevalent
stenotrophomonas	0	prevalent
stenotrophomonas	1	prevalent
stenotrophomonas	4	prevalent
stenotrophomonas	2	prevalent
stenotrophomonas	5	prevalent
stenotrophomonas	0	prevalent
stenotrophomonas	1	prevalent
stenotrophomonas	1	prevalent
EHMOS	0	EHMOS
EHMOS	0	EHMOS
EHMOS	1	EHMOS
EHMOS	0	EHMOS
EHMOS	3	EHMOS
EHMOS	0	EHMOS
EHMOS	0	EHMOS
EHMOS	1	EHMOS
EHMOS	1	EHMOS
EHMOS	0	EHMOS
EHMOS	0	EHMOS
EHMOS	1	EHMOS
EHMOS	1	EHMOS
EHMOS	0	EHMOS
