### MDS_metrics-bray-species_profiles_pneumonia.csv

"","SampleID","Axis.1","Axis.2","SamplingSite"
"1","Sample1",0.236137148608885,-0.44484411161805,"Hospital-A"
"2","Sample10",0.234258154912094,-0.274333064594588,"Hospital-A"
"3","Sample100",-0.289011881505783,0.305981775241563,"Hospital-C"
"4","Sample101",-0.289011881505783,0.305981775241563,"Hospital-C"
"5","Sample102",-0.20849707655733,-0.0334631076842121,"Hospital-C"
"6","Sample105",-0.141614814423765,-0.0772458765469455,"Hospital-C"
"7","Sample106",-0.0146369800630555,-0.12412221183359,"Hospital-C"
"8","Sample107",0.100993839971843,-0.127515658164127,"Hospital-C"
"9","Sample108",-0.0144266253727379,-0.126619688093351,"Hospital-C"
"10","Sample109",-0.0367805887865309,-0.12531166433306,"Hospital-C"
"11","Sample11",0.153284347649649,-0.396796879179401,"Hospital-A"
"12","Sample110",0.0371674913290875,-0.135579663885547,"Hospital-C"
"13","Sample111",0.0796816801028543,-0.184407299427256,"Hospital-C"
"14","Sample112",-0.051000494542092,-0.113971460020376,"Hospital-C"
"15","Sample113",0.130671025757499,-0.172518022683705,"Hospital-C"
"16","Sample114",0.136459454421438,-0.174424581373342,"Hospital-C"
"17","Sample115",0.273029783345517,0.0509554261371405,"Hospital-C"
"18","Sample116",0.450057260827185,0.406988805876026,"Hospital-C"
"19","Sample117",0.457509061779097,0.419216808678393,"Hospital-C"
"20","Sample118",0.436197513926091,0.417982253721845,"Hospital-C"
"21","Sample124",-0.292092938076321,-0.0208148269748568,"Hospital-C"
"22","Sample125",-0.426071667778393,0.0637913621930075,"Hospital-C"
"23","Sample126",-0.0596987450334203,-0.0443871667367762,"Hospital-C"
"24","Sample129",-0.466278987355916,0.0736495854217064,"Hospital-C"
"25","Sample13",0.182823059771914,-0.329315214023309,"Hospital-A"
"26","Sample130",-0.401187368822963,0.128455726177951,"Hospital-C"
"27","Sample131",-0.45309388129366,0.0915728800429378,"Hospital-C"
"28","Sample132",-0.404398850657264,0.10573029985661,"Hospital-C"
"29","Sample133",0.459556613608838,0.40365084614708,"Hospital-C"
"30","Sample134",0.458321388056535,0.420143633084989,"Hospital-C"
"31","Sample135",0.343886514273669,0.161448014303252,"Hospital-C"
"32","Sample136",0.45898243550052,0.420835792917885,"Hospital-C"
"33","Sample137",0.458924688075533,0.421030014819467,"Hospital-C"
"34","Sample138",0.45890230686818,0.421061249786859,"Hospital-C"
"35","Sample139",0.474905450951493,0.331862597745853,"Hospital-C"
"36","Sample14",0.182823059771914,-0.329315214023309,"Hospital-A"
"37","Sample141",0.459330420240343,0.419578194877084,"Hospital-C"
"38","Sample143",0.165162172440723,-0.154846385304023,"Hospital-C"
"39","Sample144",0.291817254599586,0.080613387439765,"Hospital-C"
"40","Sample146",-0.315431228684639,0.0860748706046092,"Hospital-B"
"41","Sample149",0.194161414828993,-0.137225941172059,"Hospital-C"
"42","Sample15",0.182823059771914,-0.329315214023309,"Hospital-A"
"43","Sample150",0.345262543317198,0.164914735504988,"Hospital-C"
"44","Sample151",0.267786278295175,0.0497876703036099,"Hospital-C"
"45","Sample152",-0.478695880252892,0.0817774184746279,"Hospital-C"
"46","Sample153",0.382519328985548,0.215213102478045,"Hospital-C"
"47","Sample154",0.458321388056535,0.420143633084989,"Hospital-C"
"48","Sample155",0.417226108758626,0.392216971428475,"Hospital-C"
"49","Sample156",0.458321388056535,0.420143633084989,"Hospital-C"
"50","Sample157",-0.204562217302515,0.220525527226534,"Hospital-C"
"51","Sample158",-0.468043368543611,0.096459802346585,"Hospital-C"
"52","Sample159",-0.481463834330473,0.0866504985115245,"Hospital-C"
"53","Sample16",0.182932176446567,-0.336249224727865,"Hospital-A"
"54","Sample160",-0.476632019413786,0.0848009644078881,"Hospital-C"
"55","Sample161",-0.481463834330473,0.0866504985115245,"Hospital-C"
"56","Sample162",0.133869260990471,-0.147486101071543,"Hospital-C"
"57","Sample163",0.472719369885136,0.354796876171692,"Hospital-C"
"58","Sample164",0.29018703661196,0.120569191472869,"Hospital-C"
"59","Sample165",0.176536542646316,-0.0688829226944899,"Hospital-C"
"60","Sample17",-0.47655840780686,0.0793099339211849,"Hospital-A"
"61","Sample171",-0.345059370290561,0.23760655084735,"Hospital-B"
"62","Sample173",-0.186401532676966,-0.15248640224853,"Hospital-B"
"63","Sample174",-0.290835233240295,-0.0803868083575453,"Hospital-B"
"64","Sample175",-0.480451635134391,0.0851420522659216,"Hospital-B"
"65","Sample176",-0.471277495976113,0.0651621126604272,"Hospital-B"
"66","Sample177",-0.243314380349361,0.0386304845360754,"Hospital-B"
"67","Sample178",-0.0847136816963982,-0.198525632151993,"Hospital-B"
"68","Sample179",-0.455950122856319,0.0506949869261549,"Hospital-B"
"69","Sample180",0.162020318954995,-0.18007775215401,"Hospital-B"
"70","Sample181",0.163318275596138,-0.185676792933133,"Hospital-B"
"71","Sample182",-0.218710540248048,-0.0224753620488603,"Hospital-B"
"72","Sample183",0.180507743282763,-0.316346860484087,"Hospital-B"
"73","Sample184",0.341596181246759,0.126222797418399,"Hospital-B"
"74","Sample185",0.182823059771914,-0.329315214023308,"Hospital-B"
"75","Sample186",0.156928561118635,-0.125152214394288,"Hospital-B"
"76","Sample187",0.450592604019126,0.406934544816643,"Hospital-B"
"77","Sample188",-0.481438600447331,0.0865439210507039,"Hospital-B"
"78","Sample189",-0.481173702627413,0.0856176694910536,"Hospital-B"
"79","Sample19",-0.477236379475832,0.0788887553530015,"Hospital-A"
"80","Sample190",-0.479286096349322,0.0883218505477314,"Hospital-B"
"81","Sample191",-0.469369257732619,0.0974764050580961,"Hospital-B"
"82","Sample192",0.151296809058381,-0.113421150350666,"Hospital-B"
"83","Sample193",-0.481463834330473,0.0866504985115248,"Hospital-B"
"84","Sample194",0.125532519551808,-0.160217580646906,"Hospital-B"
"85","Sample195",0.0617855428045206,-0.12348557389355,"Hospital-B"
"86","Sample197",0.107844123638175,-0.148753839957998,"Hospital-B"
"87","Sample198",-0.481463834330473,0.0866504985115248,"Hospital-B"
"88","Sample199",0.135291719029406,-0.176244115494616,"Hospital-B"
"89","Sample2",0.232761791280831,-0.44362215057046,"Hospital-A"
"90","Sample20",0.142527674249816,-0.165037801805202,"Hospital-A"
"91","Sample200",0.213636077437462,-0.0135723227904958,"Hospital-B"
"92","Sample202",0.252840546844056,0.456589045869055,"Hospital-B"
"93","Sample203",0.413169292520075,0.426404060029815,"Hospital-B"
"94","Sample204",0.423521517831793,0.424746712212861,"Hospital-B"
"95","Sample205",0.436729355437459,0.423349177344017,"Hospital-B"
"96","Sample206",0.0546228711988578,-0.103909051486435,"Hospital-B"
"97","Sample207",-0.254459066669404,-0.00284508402689237,"Hospital-B"
"98","Sample208",0.109268403354821,-0.167479681854092,"Hospital-B"
"99","Sample209",-0.481048974746049,0.0859008832977964,"Hospital-B"
"100","Sample21",0.154224606489442,-0.185043444824635,"Hospital-A"
"101","Sample210",-0.467024176871097,0.0831369717619937,"Hospital-B"
"102","Sample211",-0.479718488169434,0.0824689660392036,"Hospital-B"
"103","Sample212",-0.359908454009389,0.0272099574553046,"Hospital-B"
"104","Sample213",-0.443373961359904,0.0499258331207513,"Hospital-B"
"105","Sample214",0.131991469421892,-0.33145443792833,"Hospital-B"
"106","Sample22",0.140895128438429,-0.180394547919414,"Hospital-A"
"107","Sample221",0.136814212080087,-0.172491641890796,"Hospital-B"
"108","Sample222",0.139426831003831,-0.17749200948657,"Hospital-B"
"109","Sample223",0.141737115033801,-0.168472526766285,"Hospital-B"
"110","Sample224",0.141737115033801,-0.168472526766285,"Hospital-B"
"111","Sample225",0.13218555203293,-0.169802903687838,"Hospital-B"
"112","Sample226",-0.181745855708533,-0.0351069598765036,"Hospital-B"
"113","Sample227",0.141737115033801,-0.168472526766285,"Hospital-B"
"114","Sample228",-0.480977197696604,0.0856042009413509,"Hospital-B"
"115","Sample235",0.133377486202928,-0.160012666334075,"Hospital-B"
"116","Sample236",0.13344119904841,-0.144788490774475,"Hospital-B"
"117","Sample237",0.153986015606479,-0.246274891608152,"Hospital-B"
"118","Sample238",0.183247114717184,-0.326591555096319,"Hospital-B"
"119","Sample239",0.126348257728226,-0.162246347135717,"Hospital-B"
"120","Sample242",0.232171504263826,-0.444041385790102,"Hospital-B"
"121","Sample245",-0.481463834330473,0.0866504985115248,"Hospital-B"
"122","Sample247",0.0966510887961294,-0.133115353238016,"Hospital-B"
"123","Sample248",-0.230849331364608,-0.00714057682286388,"Hospital-B"
"124","Sample249",0.0987561921827273,-0.1515414630487,"Hospital-B"
"125","Sample250",0.0245469963505079,-0.116441138095102,"Hospital-B"
"126","Sample251",-0.319315973593657,0.0190837054994996,"Hospital-B"
"127","Sample252",-0.0766326934500205,-0.0674596046311161,"Hospital-B"
"128","Sample253",0.134822631863197,-0.166253522963672,"Hospital-B"
"129","Sample254",0.0685431774232465,-0.120149220137502,"Hospital-B"
"130","Sample255",0.132097548784808,-0.157412314752162,"Hospital-B"
"131","Sample256",0.131943956407741,-0.150709939781153,"Hospital-B"
"132","Sample257",-0.481463834330473,0.0866504985115249,"Hospital-B"
"133","Sample258",-0.0264267312825844,-0.0739054938227628,"Hospital-B"
"134","Sample259",-0.479356571858089,0.0842704504670974,"Hospital-B"
"135","Sample26",0.22974321639057,-0.435579928510622,"Hospital-A"
"136","Sample260",-0.481257185432992,0.0861636062245356,"Hospital-B"
"137","Sample261",-0.183892446346932,-0.0194359703201031,"Hospital-B"
"138","Sample262",-0.477716477001789,0.0888004315861338,"Hospital-B"
"139","Sample263",-0.283037085232497,0.319656974094617,"Hospital-B"
"140","Sample264",0.311633031211233,0.446711637504878,"Hospital-B"
"141","Sample265",0.44449845684419,0.38158547479824,"Hospital-B"
"142","Sample270",0.458321388056534,0.420143633084989,"Hospital-B"
"143","Sample271",-0.481463834330473,0.0866504985115249,"Hospital-B"
"144","Sample272",-0.478656330263678,0.0809807897616557,"Hospital-B"
"145","Sample273",-0.4811498654353,0.0850855306791104,"Hospital-B"
"146","Sample274",-0.474902329039135,0.0821951084259215,"Hospital-B"
"147","Sample275",-0.425209255719321,0.00206513069508431,"Hospital-B"
"148","Sample276",-0.481463834330473,0.0866504985115248,"Hospital-B"
"149","Sample277",-0.481463834330473,0.0866504985115247,"Hospital-B"
"150","Sample278",-0.0751789958438874,-0.0768902848756207,"Hospital-B"
"151","Sample279",0.0501234701640966,-0.129243498691901,"Hospital-B"
"152","Sample28",0.247965176083633,-0.414306537763267,"Hospital-A"
"153","Sample280",-0.198131721329307,-0.0157378467053574,"Hospital-B"
"154","Sample281",0.121113729400513,-0.152500657079552,"Hospital-B"
"155","Sample282",-0.382473751759056,0.0524051655064652,"Hospital-B"
"156","Sample288",-0.0874181765854804,-0.0654732631890552,"Hospital-B"
"157","Sample29",0.185882307534957,-0.370643339177972,"Hospital-A"
"158","Sample290",-0.276634975791699,-0.171847818923824,"Hospital-B"
"159","Sample291",0.117016089344223,-0.159439318273125,"Hospital-B"
"160","Sample292",0.125973592994192,-0.162981219688568,"Hospital-B"
"161","Sample293",-0.46611955869059,0.0731265071880225,"Hospital-B"
"162","Sample294",-0.480863018763173,0.0835137332200256,"Hospital-B"
"163","Sample295",-0.481346884376765,0.086429523443438,"Hospital-B"
"164","Sample296",-0.481463834330473,0.086650498511525,"Hospital-B"
"165","Sample297",-0.480121968792059,0.0840254653180334,"Hospital-B"
"166","Sample298",-0.480772620125842,0.086234725646676,"Hospital-B"
"167","Sample299",-0.479127635225223,0.0813707497610882,"Hospital-B"
"168","Sample3",0.232810178657005,-0.443921681132172,"Hospital-A"
"169","Sample300",-0.481227133628608,0.0865047810047496,"Hospital-B"
"170","Sample302",-0.431214496888121,0.0633741572686637,"Hospital-B"
"171","Sample305",-0.451344088249348,0.0684468170924593,"Hospital-B"
"172","Sample306",0.232531090683402,-0.443949939356638,"Hospital-B"
"173","Sample310",0.127269061786256,-0.171207629650353,"Hospital-B"
"174","Sample315",0.398847244507807,0.429009006035498,"Hospital-B"
"175","Sample316",0.458404626479945,0.417491563998337,"Hospital-B"
"176","Sample317",0.458824201917457,0.418399795707,"Hospital-B"
"177","Sample318",0.438850186682887,0.390016150653411,"Hospital-B"
"178","Sample319",0.228237547585938,0.018632845005509,"Hospital-B"
"179","Sample320",0.280712516046869,0.110828681859082,"Hospital-B"
"180","Sample321",0.180112509665311,-0.155290342626404,"Hospital-B"
"181","Sample322",-0.47950242557234,0.0833406261257212,"Hospital-B"
"182","Sample323",0.16806964113835,-0.17833971109816,"Hospital-B"
"183","Sample324",0.168152608743042,-0.178211475751097,"Hospital-B"
"184","Sample325",0.45816393075236,0.416927586727782,"Hospital-B"
"185","Sample326",0.157347880188671,-0.161821858104268,"Hospital-B"
"186","Sample327",0.132737871458356,-0.146213700046922,"Hospital-B"
"187","Sample328",-0.0182276085341484,0.343656162266488,"Hospital-B"
"188","Sample329",0.067232148093562,0.324249693919581,"Hospital-B"
"189","Sample33",0.155442297260438,-0.171804030027137,"Hospital-A"
"190","Sample330",0.279941598258528,-0.305684972023296,"Hospital-B"
"191","Sample331",0.458133590874427,0.416915999607918,"Hospital-B"
"192","Sample332",0.458321388056534,0.420143633084989,"Hospital-B"
"193","Sample333",0.173924650441064,-0.312228667545204,"Hospital-B"
"194","Sample334",0.455560967510934,0.421075166581169,"Hospital-B"
"195","Sample338",0.296369357480545,0.437277795226096,"Hospital-B"
"196","Sample339",0.232881051221177,-0.444568014995981,"Hospital-B"
"197","Sample34",0.169209411241726,-0.206120012392966,"Hospital-A"
"198","Sample340",-0.0564240725699926,-0.299580555600718,"Hospital-B"
"199","Sample341",0.227091488889884,-0.426557699251344,"Hospital-B"
"200","Sample342",0.230802124919358,-0.440661074944858,"Hospital-B"
"201","Sample343",-0.368155883832862,0.0374450928883952,"Hospital-B"
"202","Sample344",0.00316392510768366,-0.102694748416648,"Hospital-B"
"203","Sample345",0.168074182838186,-0.178430870284174,"Hospital-B"
"204","Sample346",-0.481180366187404,0.0863803055649059,"Hospital-B"
"205","Sample347",-0.481463834330473,0.0866504985115246,"Hospital-B"
"206","Sample348",-0.478129275089598,0.0826132753749253,"Hospital-B"
"207","Sample349",-0.479476539120302,0.0882350174262366,"Hospital-B"
"208","Sample35",0.143884021224697,-0.345178314214431,"Hospital-A"
"209","Sample350",-0.410139580818483,0.0519887131533276,"Hospital-B"
"210","Sample351",0.436201426720806,0.423248127728503,"Hospital-B"
"211","Sample352",-0.481463834330473,0.0866504985115251,"Hospital-B"
"212","Sample353",-0.476754698139955,0.0889667434781733,"Hospital-B"
"213","Sample354",-0.480914065102028,0.0854660991758197,"Hospital-B"
"214","Sample355",-0.27667086570454,0.0194312745879029,"Hospital-B"
"215","Sample357",-0.481332972895429,0.085842132356968,"Hospital-B"
"216","Sample36",0.183106223693122,-0.24793562199782,"Hospital-A"
"217","Sample360",0.12903823640546,-0.15946744698109,"Hospital-B"
"218","Sample363",0.182847744672548,-0.329470905115943,"Hospital-B"
"219","Sample364",0.182625696916228,-0.326761666133628,"Hospital-B"
"220","Sample365",0.219040998189078,-0.426259435624787,"Hospital-B"
"221","Sample366",-0.0849996183909421,-0.194271764347133,"Hospital-B"
"222","Sample367",0.174416905651314,-0.305820623332133,"Hospital-B"
"223","Sample368",0.232287928099118,-0.442611469235111,"Hospital-B"
"224","Sample369",0.325924243481795,-0.0739926027728062,"Hospital-B"
"225","Sample37",0.196013914285968,-0.288778984998705,"Hospital-A"
"226","Sample370",-0.413577594029148,0.0569674828240368,"Hospital-B"
