SampleID,HumanMappingRate
Sample1,90.89
Sample2,83.65
Sample3,80.65
Sample4,86.52
Sample5,86.53
Sample6,87.6
Sample7,83.88
Sample8,93.3
Sample9,88.83
Sample10,87.06
Sample11,87.34
Sample12,89.85
Sample13,83.57
Sample14,90.17
Sample15,92.0
Sample16,86.95
Sample17,85.82
Sample19,93.06
Sample20,81.58
Sample21,84.08
Sample22,92.58
Sample23,83.79
Sample24,90.34
Sample25,85.14
Sample26,89.77
Sample27,81.88
Sample28,89.36
Sample29,91.24
Sample31,92.76
Sample32,78.82
Sample33,91.18
Sample34,87.96
Sample35,86.42
Sample36,87.28
Sample37,90.81
Sample38,83.87
Sample39,81.68
Sample40,89.39
Sample41,86.31
Sample42,84.55
Sample43,88.81
Sample44,71.82
Sample45,88.4
Sample46,75.85
Sample47,69.55
Sample48,82.98
Sample49,82.24
Sample50,87.67
Sample51,84.23
Sample52,78.82
Sample53,88.37
Sample54,90.11
Sample56,84.19
Sample57,88.16
Sample58,91.08
Sample59,92.03
Sample60,89.7
Sample62,58.47
Sample63,90.16
Sample64,92.86
Sample65,90.02
Sample66,69.92
Sample67,93.98
Sample68,85.34
Sample69,82.06
Sample70,88.06
Sample71,85.46
Sample73,86.8
Sample74,85.07
Sample75,89.22
Sample77,76.42
Sample81,87.83
Sample82,89.64
Sample83,92.44
Sample84,92.12
Sample85,88.73
Sample86,91.42
Sample87,64.52
Sample89,96.35
Sample90,85.83
Sample91,93.11
Sample92,85.39
Sample93,90.12
Sample94,90.7
Sample95,24.57
Sample96,86.59
Sample97,90.22
Sample98,89.02
Sample99,81.23
Sample100,81.83
Sample101,89.42
Sample102,88.71
Sample105,88.93
Sample106,83.56
Sample107,90.02
Sample108,82.09
Sample109,87.46
Sample110,70.98
Sample111,83.36
Sample112,85.82
Sample113,83.32
Sample114,90.23
Sample115,90.23
Sample116,91.57
Sample117,82.08
Sample118,74.35
Sample119,85.32
Sample120,80.91
Sample121,87.86
Sample122,86.68
Sample123,66.74
Sample124,81.44
Sample125,82.73
Sample126,88.03
Sample129,94.41
Sample131,92.79
Sample132,93.37
Sample133,59.36
Sample134,84.83
Sample135,85.47
Sample136,65.33
Sample137,68.2
Sample138,94.0
Sample139,90.07
Sample140,94.49
Sample141,85.66
Sample142,84.88
Sample143,3.02
