"","comp1","comp2","comp3","SamplingSite"
"Sample100",0.206568132905848,0.431712815570133,-0.593914938768199,"Hospital-B"
"Sample101",0.206568132905848,0.449307447163365,-0.605060324351111,"Hospital-B"
"Sample102",0.206568132905848,0.440825966362237,-0.593702246218009,"Hospital-B"
"Sample105",0.206568132905848,0.427009201705739,0.122024793926964,"Hospital-B"
"Sample106",0.206568132905848,0.443352604119298,-0.0226058032499311,"Hospital-B"
"Sample107",0.206568132905848,0.450503795847604,-0.213297015275106,"Hospital-B"
"Sample108",0.206568132905848,0.388621423844868,1.41643258150537,"Hospital-B"
"Sample109",0.206568132905848,0.353541228148708,4.75001572352876,"Hospital-B"
"Sample10",0.206568132905848,0.452692606588615,0.0475327294157467,"Hospital-B"
"Sample110",0.206568132905848,-0.198392282833457,4.25806895908072,"Hospital-B"
"Sample111",0.206568132905848,0.437206247881544,1.34333742834361,"Hospital-B"
"Sample112",0.206568132905848,0.43852210594516,-0.162730985002581,"Hospital-C"
"Sample113",0.206568132905848,0.447802308207132,-0.642443965871425,"Hospital-C"
"Sample114",0.206568132905848,0.450081675104022,-0.341655878664757,"Hospital-C"
"Sample115",0.206568132905848,0.451384122368467,0.238036732065578,"Hospital-C"
"Sample116",0.206568132905848,-0.59814790141866,2.06408045878445,"Hospital-C"
"Sample117",0.206568132905848,-2.8658160955275,6.60679689030081,"Hospital-C"
"Sample118",0.206568132905848,0.451927988853675,-0.433141290304849,"Hospital-C"
"Sample11",0.206568132905848,0.452692606588615,-0.53753244096668,"Hospital-C"
"Sample124",0.206568132905848,0.280142893150618,-1.05166046141086,"Hospital-C"
"Sample125",0.206568132905848,0.441928732521587,-0.642388295425963,"Hospital-C"
"Sample126",0.206568132905848,0.427743372690819,-0.437561867099941,"Hospital-C"
"Sample129",0.206568132905848,-5.362601981095,-4.70219875323325,"Hospital-C"
"Sample131",0.206568132905848,-0.113424606655369,-1.03051233773678,"Hospital-C"
"Sample132",0.206568132905848,0.288107830987799,-0.762212400194983,"Hospital-C"
"Sample133",0.206568132905848,-0.619299872490937,7.27909505098359,"Hospital-C"
"Sample134",0.206568132905848,0.45232584240057,-0.595425685763717,"Hospital-C"
"Sample135",0.206568132905848,0.452095377711725,-0.596122881950991,"Hospital-C"
