### microbiome_species-statistics_count-Hospital-A.csv

taxonomy,species_dectect_patient_number,total_patient_num,SamplingSite,prevalency_percentage
s__Klebsiella_pneumoniae,11,20,Hospital-A,55.00000000000001
s__Corynebacterium_striatum,8,20,Hospital-A,40.0
s__Klebsiella_variicola,6,20,Hospital-A,30.0
s__Klebsiella_quasipneumoniae,6,20,Hospital-A,30.0
s__Acinetobacter_baumannii,5,20,Hospital-A,25.0
s__Human_alphaherpesvirus_1,4,20,Hospital-A,20.0
s__Burkholderia_cenocepacia,4,20,Hospital-A,20.0
s__Pseudomonas_aeruginosa_group,3,20,Hospital-A,15.0
s__Stenotrophomonas_maltophilia,3,20,Hospital-A,15.0
s__Streptococcus_mitis,3,20,Hospital-A,15.0
s__Burkholderia_multivorans,3,20,Hospital-A,15.0
s__Lactobacillus_salivarius,2,20,Hospital-A,10.0
s__Streptococcus_salivarius,2,20,Hospital-A,10.0
s__Human_betaherpesvirus_5,2,20,Hospital-A,10.0
s__Staphylococcus_aureus,2,20,Hospital-A,10.0
s__Neisseria_elongata,1,20,Hospital-A,5.0
s__Candidatus_Gracilibacteria_bacterium_GN02_873,1,20,Hospital-A,5.0
s__Ralstonia_pickettii,1,20,Hospital-A,5.0
s__Elizabethkingia_anophelis,1,20,Hospital-A,5.0
s__Lautropia_mirabilis,1,20,Hospital-A,5.0
s__Lactobacillus_ingluviei,1,20,Hospital-A,5.0
s__Lactobacillus_casei_group,1,20,Hospital-A,5.0
s__Escherichia_coli,1,20,Hospital-A,5.0
s__Veillonella_parvula,1,20,Hospital-A,5.0
s__Neisseria_flavescens,1,20,Hospital-A,5.0
s__Human_polyomavirus_3,1,20,Hospital-A,5.0
s__Human_alphaherpesvirus_3,1,20,Hospital-A,5.0
s__Porphyromonas_somerae,1,20,Hospital-A,5.0
s__Acetobacter_aceti,1,20,Hospital-A,5.0
s__Pediococcus_pentosaceus,1,20,Hospital-A,5.0
s__Candida_albicans,1,20,Hospital-A,5.0
s__Abiotrophia_sp_HMSC24B09,1,20,Hospital-A,5.0
s__Abiotrophia_defectiva,1,20,Hospital-A,5.0
s__Streptococcus_oralis,1,20,Hospital-A,5.0
s__Rickettsia_felis,1,20,Hospital-A,5.0
s__Nesterenkonia_sp_PF2B19,1,20,Hospital-A,5.0
s__Leuconostoc_mesenteroides,1,20,Hospital-A,5.0
s__Acinetobacter_nosocomialis,1,20,Hospital-A,5.0
s__Proteus_mirabilis,1,20,Hospital-A,5.0
s__Corynebacterium_resistens,1,20,Hospital-A,5.0
s__Elizabethkingia_meningoseptica,1,20,Hospital-A,5.0
s__Ureaplasma_parvum,1,20,Hospital-A,5.0
s__Mycoplasma_hominis,1,20,Hospital-A,5.0
s__Achromobacter_xylosoxidans,1,20,Hospital-A,5.0
s__Primate_erythroparvovirus_1,1,20,Hospital-A,5.0


### microbiome_species-statistics_count-Hospital-B.csv

taxonomy,species_dectect_patient_number,total_patient_num,SamplingSite,prevalency_percentage
s__Corynebacterium_striatum,61,86,Hospital-B,70.93023255813954
s__Acinetobacter_baumannii,28,86,Hospital-B,32.55813953488372
s__Streptococcus_oralis,24,86,Hospital-B,27.906976744186046
s__Human_alphaherpesvirus_1,23,86,Hospital-B,26.744186046511626
s__Streptococcus_mitis,20,86,Hospital-B,23.25581395348837
s__Klebsiella_pneumoniae,17,86,Hospital-B,19.767441860465116
s__Atopobium_parvulum,15,86,Hospital-B,17.441860465116278
s__Neisseria_flavescens,15,86,Hospital-B,17.441860465116278
s__Prevotella_melaninogenica,14,86,Hospital-B,16.27906976744186
s__Streptococcus_anginosus_group,14,86,Hospital-B,16.27906976744186
s__Klebsiella_variicola,13,86,Hospital-B,15.11627906976744
s__Nesterenkonia_sp_PF2B19,13,86,Hospital-B,15.11627906976744
s__Slackia_exigua,13,86,Hospital-B,15.11627906976744
s__Parvimonas_micra,13,86,Hospital-B,15.11627906976744
s__Rothia_mucilaginosa,11,86,Hospital-B,12.790697674418606
s__Streptococcus_infantis,11,86,Hospital-B,12.790697674418606
s__Pseudomonas_aeruginosa_group,11,86,Hospital-B,12.790697674418606
s__Prevotella_oris,11,86,Hospital-B,12.790697674418606
s__Enterococcus_faecium,11,86,Hospital-B,12.790697674418606
s__Streptococcus_salivarius,11,86,Hospital-B,12.790697674418606
s__Lautropia_mirabilis,11,86,Hospital-B,12.790697674418606
s__Porphyromonas_endodontalis,10,86,Hospital-B,11.627906976744185
s__Acinetobacter_nosocomialis,10,86,Hospital-B,11.627906976744185
s__Stenotrophomonas_maltophilia,10,86,Hospital-B,11.627906976744185
s__Streptococcus_parasanguinis,10,86,Hospital-B,11.627906976744185
s__Prevotella_pallens,9,86,Hospital-B,10.465116279069768
s__Klebsiella_quasipneumoniae,8,86,Hospital-B,9.30232558139535
s__Fusobacterium_nucleatum,7,86,Hospital-B,8.13953488372093
s__Porphyromonas_somerae,7,86,Hospital-B,8.13953488372093
s__Mogibacterium_diversum,7,86,Hospital-B,8.13953488372093
s__Veillonella_parvula,7,86,Hospital-B,8.13953488372093
s__Peptostreptococcus_stomatis,7,86,Hospital-B,8.13953488372093
s__Prevotella_nigrescens,7,86,Hospital-B,8.13953488372093
s__Prevotella_sp_oral_taxon_473,6,86,Hospital-B,6.976744186046512
s__Scardovia_wiggsiae,6,86,Hospital-B,6.976744186046512
s__Abiotrophia_defectiva,6,86,Hospital-B,6.976744186046512
s__Atopobium_rimae,6,86,Hospital-B,6.976744186046512
s__Gemella_haemolysans,6,86,Hospital-B,6.976744186046512
s__Streptococcus_pseudopneumoniae,5,86,Hospital-B,5.813953488372093
s__Gemella_sanguinis,5,86,Hospital-B,5.813953488372093
s__Haemophilus_parahaemolyticus,5,86,Hospital-B,5.813953488372093
s__Elizabethkingia_anophelis,5,86,Hospital-B,5.813953488372093
s__Streptococcus_vestibularis,5,86,Hospital-B,5.813953488372093
s__Staphylococcus_aureus,5,86,Hospital-B,5.813953488372093
s__Abiotrophia_sp_HMSC24B09,5,86,Hospital-B,5.813953488372093
s__Neisseria_sicca,5,86,Hospital-B,5.813953488372093
s__Gemella_morbillorum,5,86,Hospital-B,5.813953488372093
s__Alloprevotella_tannerae,5,86,Hospital-B,5.813953488372093
s__Olsenella_uli,5,86,Hospital-B,5.813953488372093
s__Actinomyces_odontolyticus,5,86,Hospital-B,5.813953488372093
s__Granulicatella_elegans,4,86,Hospital-B,4.651162790697675
s__Neisseria_subflava,4,86,Hospital-B,4.651162790697675
s__Streptococcus_sanguinis,4,86,Hospital-B,4.651162790697675
s__Haemophilus_influenzae,4,86,Hospital-B,4.651162790697675
s__Actinomyces_sp_oral_taxon_181,4,86,Hospital-B,4.651162790697675
s__Dialister_pneumosintes,4,86,Hospital-B,4.651162790697675
s__Eikenella_corrodens,4,86,Hospital-B,4.651162790697675
s__Solobacterium_moorei,4,86,Hospital-B,4.651162790697675
s__Staphylococcus_epidermidis,4,86,Hospital-B,4.651162790697675
s__Morococcus_cerebrosus,4,86,Hospital-B,4.651162790697675
s__Pseudomonas_geniculata,4,86,Hospital-B,4.651162790697675
s__Actinomyces_sp_oral_taxon_180,4,86,Hospital-B,4.651162790697675
s__Prevotella_jejuni,4,86,Hospital-B,4.651162790697675
s__Megasphaera_micronuciformis,4,86,Hospital-B,4.651162790697675
s__Neisseria_elongata,3,86,Hospital-B,3.488372093023256
s__Streptococcus_gordonii,3,86,Hospital-B,3.488372093023256
s__Prevotella_sp_oral_taxon_306,3,86,Hospital-B,3.488372093023256
s__Candida_albicans,3,86,Hospital-B,3.488372093023256
s__Enterococcus_faecalis,3,86,Hospital-B,3.488372093023256
s__Actinobaculum_sp_oral_taxon_183,3,86,Hospital-B,3.488372093023256
s__Prevotella_intermedia,3,86,Hospital-B,3.488372093023256
s__Lactobacillus_fermentum,3,86,Hospital-B,3.488372093023256
s__Actinomyces_sp_HMSC035G02,3,86,Hospital-B,3.488372093023256
s__Lactobacillus_crispatus,3,86,Hospital-B,3.488372093023256
