name,counts
IS26,51
ISAba1,37
ISCx1,32
ISVsa3,29
ISCre1,28
ISAba26,27
ISPsp9,21
ISEc29,18
ISAba22,17
IS4351,16
IS102,15
ISAba24,15
IS5075,13
ISKpn27,13
ISKpn1,13
Tn6207,12
IS256,12
ISKpn26,12
Tn6009,11
ISKpn28,11
ISEfa4,10
ISKpn42,9
ISKox1,9
ISEnfa4,8
ISKpn18,8
ISKpn19,8
IS6100,8
IS17,8
ISEfm1,7
ISS1N,7
ISEf1,7
ISKpn14,7
ISEc28,7
ISCfr1,7
ISPa32,7
ISStma6,7
ISStma1,7
ISSep2,6
ISStma2,5
ISEfa11,5
IS16,5
ISPa6,5
MTnSag1,4
cn_14066_IS17,4
ISEnfa3,4
Tn6022,4
ISSau4,4
ISSep3,4
ISPa2,4
ISSmi3,3
ISBf8,3
ISActu1,3
ISStma12,3
ISEc9,3
IS195,3
ISPa37,2
ISPa11,2
ISPa7,2
ICE(Tn4371)6041,2
ISPsy29,2
ISSag8,2
ISLrh4,2
ISSpn1,2
ISSpn6,2
ISStma7,2
ISNesp1,2
cn_3032_IS256,2
ISEfa10,2
ISLgar5,2
IS1062,2
IS1071,2
IS905,2
ISAba10,2
ISEco1,2
ISLrh2,2
ISEfm2,2
ISVsa5,2
ISLla3,2
cn_2722_ISCre1,1
cn_6275_IS905,1
Tn917,1
cn_4821_IS102,1
cn_4850_IS26,1
cn_5423_IS102,1
Tn6137,1
Tn6082,1
cn_5559_ISEfa4,1
cn_5938_ISEfa4,1
cn_6611_ISCre1,1
cn_4485_IS26,1
cn_6642_ISCre1,1
cn_2204_IS26,1
cn_2353_IS26,1
Tn554,1
Tn5501,1
cn_6670_ISCre1,1
cn_2493_IS26,1
cn_4624_ISKpn19,1
cn_4484_IS26,1
cn_2004_IS26,1
cn_1878_IS26,1
cn_1956_IS26,1
MITEEc1,1
cn_3623_ISSpn3,1
cn_1947_IS26,1
cn_1915_IS26,1
cn_3763_ISAba1,1
cn_1896_IS26,1
cn_1883_IS26,1
cn_40687_IS102,1
cn_2200_IS26,1
cn_1784_ISAba1,1
cn_2192_IS26,1
cn_1707_ISEnfa4,1
cn_1684_ISKpn1,1
cn_2494_IS26,1
cn_4465_IS26,1
cn_16364_IS26,1
cn_14223_ISAba10,1
cn_2475_IS26,1
ISPen2,1
ISSty2,1
ISStrsp1,1
ISLrh3,1
ISLpl1,1
ISLhe7,1
ISLhe4,1
ISL2,1
ISL1,1
ISKpn47,1
ISKpn33,1
ISEco2,1
ISEcl1,1
ISEch12,1
ISCre2,1
ISButh1,1
ISBmu9,1
ISBma3,1
ISAeme4,1
ISAeme3,1
ISAeme19,1
ISAba31,1
ISAba125,1
IS1068,1
ISNme4,1
ISPa1328,1
ISPa1635,1
ISSau1,1
ISStrs1,1
ISSth7,1
ISStan1,1
ISSpn5,1
ISSpn3,1
ISSmi2,1
ISShes10,1
ISSha1,1
ISSau2,1
ISRso7,1
ISPa31,1
ISRme9,1
ISPst5,1
ISPsp5,1
ISPpu33,1
ISPg6,1
ISPa87,1
ISPa79,1
ISPa5,1
ISPa4,1
cn_9129_IS5075,1
