query,NZ_CP010782.1.fasta,NZ_CP008708.1.fasta,NZ_CP008850.1.fasta,NZ_CP020576.1.fasta,NZ_CP030084.1.fasta,NZ_CP050414.1.fasta,NZ_CP066231.1.fasta,zhujianfen-zheyi.fasta
NZ_CP010782.1.fasta,0,0,0,0,0,0,0,0
NZ_CP008708.1.fasta,100,0,0,0,0,0,0,0
NZ_CP008850.1.fasta,100,99.995529,0,0,0,0,0,0
NZ_CP020576.1.fasta,99.988556,99.988556,99.989304,0,0,0,0,0
NZ_CP030084.1.fasta,99.983139,99.984772,99.98243,99.97168,0,0,0,0
NZ_CP050414.1.fasta,99.993042,99.993309,99.988548,99.982117,99.97773,0,0,0
NZ_CP066231.1.fasta,99.863113,99.983276,99.977615,99.989334,99.88829,99.976547,0,0
Patient_6.fasta,99.992371,99.91507,99.983719,99.97493,99.983307,99.908218,99.923042,0
