query,NZ_CP030131.1.fasta,NZ_CP058229.1.fasta,NZ_CP045266.1.fasta,NZ_CP028795.1.fasta,NZ_CP034127.1.fasta,NZ_CP066522.1.fasta,NZ_CP069175.1.fasta,zhouboxun-xiangya.fasta
NZ_CP030131.1.fasta,0,0,0,0,0,0,0,0
NZ_CP058229.1.fasta,99.982635,0,0,0,0,0,0,0
NZ_CP045266.1.fasta,99.858566,99.880722,0,0,0,0,0,0
NZ_CP028795.1.fasta,99.960312,100,100,0,0,0,0,0
NZ_CP034127.1.fasta,100,100,99.971634,99.887527,0,0,0,0
NZ_CP066522.1.fasta,99.958603,99.939148,99.964584,100,99.896423,0,0,0
NZ_CP069175.1.fasta,100,100,99.973663,99.851349,100,99.838882,0,0
Patient_115.fasta,99.954979,99.996811,99.880722,99.98909,100,100,100,0
