### RGI_profile-comparisons_arg_number.csv

filename,arg_num,species
P157_Hospital-C_coassembly.001,34,acinetobacter
P156_Hospital-C_coassembly.bin.1,39,acinetobacter
P90_Hospital-B_coassembly.refined.2,26,acinetobacter
P132_Hospital-C_coassembly.008,39,acinetobacter
P147_Hospital-C_coassembly.bin.2,33,acinetobacter
P146_Hospital-C_coassembly.001,34,acinetobacter
P113_Hospital-C_coassembly.003,32,acinetobacter
P123_Hospital-C_coassembly.bin.4,31,acinetobacter
P25_Hospital-B_coassembly.001,30,acinetobacter
P24_Hospital-B_coassembly.004,25,acinetobacter
P77_Hospital-B_coassembly.bin.1,30,acinetobacter
P118_Hospital-C_coassembly.005,30,acinetobacter
P151_Hospital-C_coassembly.002,37,acinetobacter
P26_Hospital-B_coassembly.001,35,acinetobacter
P52_Hospital-B_coassembly.001,30,acinetobacter
P103_Hospital-B_coassembly.001,33,acinetobacter
P105_Hospital-B_coassembly.bin.4,23,acinetobacter
P114_Hospital-C_coassembly.002,39,acinetobacter
P130_Hospital-C_coassembly.003,30,acinetobacter
P141_Hospital-C_coassembly.006,31,acinetobacter
P23_Hospital-B_coassembly.001,33,acinetobacter
P155_Hospital-C_coassembly.bin.6_A,25,acinetobacter
P144_Hospital-C_coassembly.001,30,acinetobacter
P112_Hospital-C_coassembly.003,35,acinetobacter
P143_Hospital-C_coassembly.001,33,acinetobacter
P136_Hospital-C_coassembly.002,31,acinetobacter
P124_Hospital-C_coassembly.001,40,acinetobacter
P125_Hospital-C_coassembly.001,11,stenotrophomonas
P132_Hospital-C_coassembly.bin.2,11,stenotrophomonas
P147_Hospital-C_coassembly.002,15,stenotrophomonas
P118_Hospital-C_coassembly.003,12,stenotrophomonas
P105_Hospital-B_coassembly.bin.1,12,stenotrophomonas
P114_Hospital-C_coassembly.001,16,stenotrophomonas
P130_Hospital-C_coassembly.005,7,stenotrophomonas
P139_Hospital-C_coassembly.001,7,stenotrophomonas
P99_Hospital-B_coassembly.bin.1,6,stenotrophomonas
P125_Hospital-C_coassembly.bin.2,5,corynebacterium
P148_Hospital-C_coassembly.001,13,corynebacterium
P59_Hospital-B_coassembly.001,8,corynebacterium
P113_Hospital-C_coassembly.001,8,corynebacterium
P128_Hospital-C_coassembly.bin.1,10,corynebacterium
P38_Hospital-B_coassembly.bin.2,8,corynebacterium
P48_Hospital-B_coassembly.002,3,corynebacterium
P25_Hospital-B_coassembly.002,7,corynebacterium
P24_Hospital-B_coassembly.005,2,corynebacterium
P41_Hospital-B_coassembly.002,3,corynebacterium
P105_Hospital-B_coassembly.002,7,corynebacterium
P130_Hospital-C_coassembly.004,7,corynebacterium
P137_Hospital-C_coassembly.001,8,corynebacterium
P30_Hospital-B_coassembly.007,3,corynebacterium
P67_Hospital-B_coassembly.002,8,corynebacterium
P152_Hospital-C_coassembly.002,11,corynebacterium
P22_Hospital-B_coassembly.021,8,corynebacterium
P44_Hospital-B_coassembly.008,9,corynebacterium
P76_Hospital-B_coassembly.002,7,corynebacterium
P108_Hospital-C_coassembly.001,8,corynebacterium
P155_Hospital-C_coassembly.bin.6_C,6,corynebacterium
P144_Hospital-C_coassembly.002,7,corynebacterium
P47_Hospital-B_coassembly.007,6,corynebacterium
P99_Hospital-B_coassembly.bin.2,9,corynebacterium
P127_Hospital-C_coassembly.001,8,corynebacterium
P37_Hospital-B_coassembly.003,8,corynebacterium
P32_Hospital-B_coassembly.017,4,corynebacterium
P104_Hospital-B_coassembly.003,8,corynebacterium
P102_Hospital-B_coassembly.refined.8,7,corynebacterium
P50_Hospital-B_coassembly.001,3,corynebacterium
P68_Hospital-B_coassembly.001,53,pseudomonas
P132_Hospital-C_coassembly.bin.4,54,pseudomonas
P126_Hospital-C_coassembly.001,45,pseudomonas
P117_Hospital-C_coassembly.001,55,pseudomonas
P122_Hospital-C_coassembly.001,52,pseudomonas
P109_Hospital-C_coassembly.002,57,pseudomonas
P21_Hospital-B_coassembly.bin.1,55,pseudomonas
P105_Hospital-B_coassembly.001,51,pseudomonas
P152_Hospital-C_coassembly.004,63,pseudomonas
