### acinetobacter-recombinations-consensus_blocks_all.csv
sequence,software,gene_type,start_position,stop_position,cds_length,patientid,y_start,y_end,coordinates
SEQUENCE,GUBBINS,CDS,2981592,2988808,7216,P151,22,23,2985200
SEQUENCE,GUBBINS,CDS,3924498,3954852,30354,P151,22,23,3939675
SEQUENCE,GUBBINS,CDS,3032863,3055053,22190,P151,22,23,3043958
SEQUENCE,GUBBINS,CDS,2759575,2760724,1149,P151,22,23,2760149.5
SEQUENCE,GUBBINS,CDS,2923009,2928823,5814,P151,22,23,2925916
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P124,21,22,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P124,21,22,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P124,21,22,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P124,21,22,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P124,21,22,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P124,21,22,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P124,21,22,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P124,21,22,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P124,21,22,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P124,21,22,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P124,21,22,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P147,20,21,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P147,20,21,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P147,20,21,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P147,20,21,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P147,20,21,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P147,20,21,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P147,20,21,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P147,20,21,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P147,20,21,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P147,20,21,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P147,20,21,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P114,19,20,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P114,19,20,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P114,19,20,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P114,19,20,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P114,19,20,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P114,19,20,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P114,19,20,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P114,19,20,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P114,19,20,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P114,19,20,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P114,19,20,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P132,18,19,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P132,18,19,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P132,18,19,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P132,18,19,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P132,18,19,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P132,18,19,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P132,18,19,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P132,18,19,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P132,18,19,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P132,18,19,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P132,18,19,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P141,17,18,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P141,17,18,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P141,17,18,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P141,17,18,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P141,17,18,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P141,17,18,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P141,17,18,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P141,17,18,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P141,17,18,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P141,17,18,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P141,17,18,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P156,16,17,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P156,16,17,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P156,16,17,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P156,16,17,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P156,16,17,3003614
